1496327495970	krdict:kor:30850:단어	괴롭다		괴롭따	[sound:say-dd41b63a-18be9feb-9f968b4a-dec93087-d9c651a8 (1).mp3]	몸이나 마음이 편하지 않고 아프고 고통스럽다.	to be distressed		괴로울 때나 즐거울 때나	in joy and in sorrow	민준이는 괴로운 표정으로 헤어진 여자 친구의 사진을 바라보았다.			중급
1496327495969	krdict:kor:27668:단어	곤란	困難▽	골ː란	[sound:say-b597dc15-677240eb-9e290553-187f9b53-d292ccdf (1).mp3]	사정이 몹시 난처하거나 어려움.	a difficulty (not 어려움)		곤란에 빠뜨려서 미안합니다	Sorry for getting you into trouble.	곤란을 겪다	go through difficulty[hardship]		중급
1496327495968	376c8b4a-08d9-4be2-bc81-6e3af81d46d1	감정			[sound:say-1981b0a8-053f7711-5605fa40-83eb4e0f-38b2c7ef (1).mp3]		an emotion							
1496327495967	krdict:kor:70709:단어	감동	感動	감ː동	[sound:say-3ad3dc71-140e6a54-c969779f-d52a6c3b-983b1881.mp3]	강하게 느껴 마음이 움직임.	The state of feeling of being touched by something very deeply, or such an emotional state.<br>		<p>나는 그 소식을 듣고 크게 <b>감동</b>했다</p>	I was deeply moved at[by] the news.&nbsp;<br>	<p>나는 그녀의 말에 깊은 <b>감동</b>을 받았다</p>	I was very[deeply] touched by her words<br>	"<img src=""paste-c605d2179eb335839e716d4e8fdd5174c99f7ccb.jpg""><br>"	중급
1496327495973	krdict:kor:40080:단어	기쁨		기쁨	[sound:say-2b46c2c3-f4fb617d-7e48f653-40d9e24f-549498fe.mp3]	기분이 매우 좋고 즐거운 마음.	happiness (ㄱ)	슬픔	큰 기쁨.		친한 친구들과 함께하는 모임에는 언제나 기쁨이 넘쳤다.			초급
1496327495971	krdict:kor:37050:단어	귀찮다		귀찬타	[sound:say-79206be5-9d72c780-f3fc03a1-86520554-cf1786dd (1).mp3]	싫고 성가시다.	to be bothered		심부름이 귀찮다.		몸이 아프니까 모든 것이 다 귀찮다.			초급
1496327495977	krdict:kor:61166:단어	느낌		느낌	[sound:say-ccc521f5-26c739e5-be2cf59d-1c96ce60-dbf809c5 (1).mp3]	몸이나 마음에서 일어나는 기분이나 감정.	a feeling		귀여운 느낌.		그 사람한테는 수상한 느낌을 지울 수가 없어.			초급
1496327495974	krdict:kor:43863:단어	긴장	緊張	긴장	[sound:say-54de3144-7edc9ca5-264bbee2-14ddeb18-0959088f (1).mp3]	마음을 놓지 않고 정신을 바짝 차림.	nervousness		나는 긴장을 하면 손이 떨린다	My hands shake[tremble] when I am nervous.	관중들은 두 라이벌의 치열한 결승전 경기를 긴장 속에 관람하였다.			초급
1496327495979	krdict:kor:14925:단어	두렵다		두렵따	[sound:say-9ca78018-7e0aa67b-2730d96d-8984c444-43833e04 (1).mp3]	몹시 피하고 싶을 만큼 겁이 나고 무섭다.	to be afraid (of something unseen)		나는 실수를 할까 봐 두려웠다	I was fearful of making a mistake.	아버지는 항상 내 잘못을 엄격하게 꾸짖기 때문에 내게는 너무 두려운 존재이다.			중급
1496327495978	krdict:kor:18921:단어	당황	唐慌/唐惶	당황	[sound:say-b49d91e7-13c0273e-c032ed6a-f87b7a17-021446f8 (1).mp3]	놀라거나 매우 급하여 어떻게 해야 할지를 모름.	&nbsp;be embarrassed, be flustered, be taken aback&nbsp;<br>		당황이 되다.		그녀는 갑작스러운 그의 고백에 당황을 했는지 말을 잇지 못했다.			중급
1496327495981	krdict:kor:15921:단어	망설이다		망설이다	[sound:say-1eb12097-1e085ebb-7d61404b-e2f66de1-2cf0f606 (1).mp3]	마음이나 태도를 정하지 못하고 머뭇거리다.	to hesitate		그는 대답하기를 망설였다.	He hesitated to answer	뭘 그렇게 망설입니까?	Why are you hesitating?	"<img src=""paste-446dd1028d62e0be21f2fff1891e4709960a7864.jpg""><br>"	중급
